"page_id","urlslug","ID","ALIGN","SEX","ALIVE","APPEARANCES","FIRST.APPEARANCE","comic","PHYSICAL"
9331,"\/Lourdes_Chantel_(Earth-616)","Public Identity","Good Characters","Female Characters","Deceased Characters",NA,"Mar-87","Marvel Comics"," , Black Hair"
530056,"\/Ross_Palmer_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",1,"Dec-47","MV"," , Brown Hair"
482716,"\/Krauss_and_Polly_(Earth-616)","Public Identity","Bad Characters","Male Characters","Deceased Characters",1,"Oct-42","marvl"," , Black Hair"
79424,"\/Jack_Starsmore_(Earth-616)","Secret Identity","Neutral Characters","Male Characters","Living Characters",4,"Apr-06","marvl"," , Black Hair"
130105,"\/wiki\/Mustapha_Maksai_(New_Earth)","","Bad Characters","Male Characters","Living Characters",2,"1985, January","DC comics","Brown Eyes , Black Hair"
90004,"\/wiki\/Louis_Sendak_(New_Earth)","Secret Identity","Good Characters","Male Characters","Deceased Characters",14,"1993, November","dc comics","Brown Eyes , Brown Hair"
79617,"\/Snake-Eyes_(Earth-616)","","","","Living Characters",3,"Oct-84","MV"," , "
15388,"\/Strongman_(Spider-Squad)_(Earth-616)","","","","Living Characters",1,"Aug-77","Marvel Comics"," , "
439255,"\/Kalph_Belgri_(Earth-616)","No Dual Identity","Bad Characters","Male Characters","Deceased Characters",1,"Mar-40","Marvel"," , Black Hair"
175458,"\/Grace_(Mannite)_(Earth-616)","Secret Identity","Good Characters","Female Characters","Living Characters",5,"Sep-99","Marvel Comics"," , Blue Hair"
329881,"\/Zacharaiah_Seavey_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",6,"Jan-78","MV","Variable Eyes , No Hair"
441579,"\/Bitterhand_(Earth-616)","","Bad Characters","","Living Characters",1,"Mar-87","marvl"," , "
16512,"\/Iris_(Warpies)_(Earth-616)","Secret Identity","Neutral Characters","Female Characters","Living Characters",1,"Mar-93","MV","Blue Eyes , Brown Hair"
462671,"\/User:TOR\/test","","","","",NA,"","MV"," , "
348742,"\/Jennifer_Walters_(Heroes_Reborn)_(Earth-616)","Public Identity","Good Characters","Female Characters","Living Characters",5,"Nov-96","Marvel","Green Eyes , Brown Hair"
1564,"\/wiki\/Lobo_(New_Earth)","Public Identity","Neutral Characters","Male Characters","Living Characters",353,"1983, June","DC comics","Red Eyes , Black Hair"
321200,"\/Aaron_Cashin_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",8,"Jun-92","marvl"," , Brown Hair"
437592,"\/N%27Dega_(Earth-616)","Public Identity","Neutral Characters","Male Characters","Living Characters",NA,"Oct-09","Marvel Comics","Black Eyes , Black Hair"
69801,"\/wiki\/Frankenstein_(New_Earth)","Public Identity","Good Characters","Male Characters","Living Characters",34,"2006, January","DC comics","Brown Eyes , Black Hair"
610205,"\/Bheton_(Earth-616)","Secret Identity","Good Characters","Male Characters","Living Characters",3,"Nov-96","marvl"," , Grey Hair"
25953,"\/First_Fallen_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",3,"Aug-06","marvelcomics","Variable Eyes , No Hair"
183472,"\/wiki\/Blindspot_(New_Earth)","Secret Identity","Bad Characters","Male Characters","Living Characters",2,"1990, June","DC comics"," , "
15965,"\/Ssith_(Earth-616)","Public Identity","Bad Characters","Male Characters","Living Characters",5,"Oct-92","marvelcomics","Red Eyes , No Hair"
279632,"\/Hijack_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",1,"Nov-09","Marvel Comics"," , Brown Hair"
1616,"\/Fandral_(Earth-616)","Secret Identity","Good Characters","Male Characters","Deceased Characters",375,"Aug-65","marvl","Blue Eyes , Blond Hair"
19954,"\/wiki\/Stanley_Dover,_Younger_(New_Earth)","Public Identity","Good Characters","Male Characters","Living Characters",12,"1966, January","DC comics","Blue Eyes , Blond Hair"
391962,"\/Ernst_(Earth-616)","Secret Identity","Good Characters","Female Characters","Living Characters",38,"Feb-03","marvelcomics"," , Grey Hair"
240073,"\/wiki\/Eamon_Garcia_(New_Earth)","Secret Identity","Bad Characters","Male Characters","Living Characters",2,"2005, May","DC comics","Black Eyes , "
1836,"\/Human_Torch_(Android)_(Earth-616)","Public Identity","Good Characters","Male Characters","Living Characters",548,"Oct-39","marvelcomics","Blue Eyes , Blond Hair"
490222,"\/James_Carlin_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Deceased Characters",1,"Sep-43","Marvel Comics"," , Bald"
79788,"\/Roy_Cook_(Earth-616)","","","Male Characters","Living Characters",NA,"Apr-04","Marvel Comics"," , "
419842,"\/Mrs._Worthington_Ford_III_(Earth-616)","Public Identity","","Female Characters","Living Characters",1,"Jul-79","marvl"," , Brown Hair"
164291,"\/X%27iv_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",NA,"Aug-08","marvl","Red Eyes , No Hair"
18193,"\/wiki\/Hyperion_(New_Earth)","Public Identity","Neutral Characters","Male Characters","Living Characters",17,"1981, September","dc comics"," , "
1833,"\/wiki\/Daniel_Garrett_(New_Earth)","Secret Identity","Good Characters","Male Characters","Deceased Characters",30,"1986, May","DC comics","Blue Eyes , Brown Hair"
2272,"\/Cormick_Grimshaw_(Earth-616)","Public Identity","Neutral Characters","Male Characters","Living Characters",23,"Oct-88","MV"," , Blond Hair"
183477,"\/wiki\/Blockhouse_I_(New_Earth)","","Bad Characters","","Living Characters",1,"1988, March","dc comics"," , "
1181,"\/Jesse_Black_Crow_(Earth-616)","Secret Identity","Good Characters","Male Characters","Living Characters",20,"Apr-84","MV","Brown Eyes , Black Hair"
738647,"\/Sky_Song_(Earth-616)","Secret Identity","Bad Characters","Female Characters","Living Characters",1,"Dec-09","marvelcomics","Red Eyes , "
181668,"\/wiki\/Lady_Liberty_V_(New_Earth)","Secret Identity","Bad Characters","Female Characters","Living Characters",4,"2006, December","DC comics"," , Black Hair"
564563,"\/Jet_(WIldboys)_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",2,"Apr-88","MV"," , "
317066,"\/wiki\/Amon_(New_Earth)","Secret Identity","Bad Characters","Male Characters","Deceased Characters",4,"2009, October","DC comics"," , Brown Hair"
159982,"\/wiki\/Lart_(New_Earth)","Public Identity","Good Characters","Male Characters","Living Characters",11,"1968, May","DC comics","Black Eyes , Blond Hair"
337381,"\/wiki\/Quaar_(New_Earth)","Public Identity","Good Characters","Male Characters","Living Characters",5,"1985, February","DC comics"," , "
326495,"\/Starbolt_II_(Earth-616)","Secret Identity","Good Characters","","Living Characters",8,"May-10","marvel"," , "
642833,"\/Gonar_(Earth-616)","Public Identity","Good Characters","Male Characters","Living Characters",1,"","marvelcomics"," , "
16571,"\/Garbage_Man_(Earth-616)","Secret Identity","","Male Characters","Living Characters",1,"Oct-87","Marvel"," , Black Hair"
12822,"\/Hate-Monger_(Psycho-Man%27s_Creation)_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Deceased Characters",NA,"Jun-85","MV","Blue Eyes , Blond Hair"
3762,"\/wiki\/Jivan_Shi_(New_Earth)","Secret Identity","Bad Characters","Male Characters","Deceased Characters",12,"1983, March","dc comics","Brown Eyes , Black Hair"
396073,"\/Cheshire_(Earth-616)","","Bad Characters","Male Characters","Living Characters",5,"Nov-76","marvel"," , "
504342,"\/Ryuhei_Kodo_(Earth-616)","Public Identity","","Male Characters","Living Characters",1,"Jun-11","marvel"," , Black Hair"
316405,"\/Yenrag_(Earth-616)","","","Male Characters","Living Characters",4,"Sep-08","marvel"," , "
452810,"\/Ororo%27s_grandmother_(Earth-616)","Secret Identity","Good Characters","Female Characters","Living Characters",NA,"Aug-06","Marvel Comics","Brown Eyes , White Hair"
605835,"\/Goroth_(Earth-616)","Public Identity","Good Characters","Male Characters","Living Characters",6,"Dec-00","marvl","Green Eyes , Black Hair"
2775,"\/wiki\/Satanus_(New_Earth)","Secret Identity","Bad Characters","Male Characters","Living Characters",54,"1992, August","dc comics","Red Eyes , Black Hair"
86108,"\/wiki\/Clive_Yorkin_(New_Earth)","Public Identity","Bad Characters","Male Characters","Living Characters",12,"1979, February","dc comics"," , Brown Hair"
22326,"\/Bambina_Arbogast_(Earth-616)","No Dual Identity","Good Characters","Female Characters","Living Characters",125,"Jan-79","MV","Blue Eyes , Black Hair"
16142,"\/Chicken_Wings_(Earth-616)","Secret Identity","Good Characters","Male Characters","Living Characters",2,"Feb-90","MV"," , "
27580,"\/Robyn_Hanover_(Earth-616)","Public Identity","","Female Characters","Living Characters",3,"Sep-96","marvl"," , Auburn Hair"
132257,"\/wiki\/Jeremy_Horton_(New_Earth)","","Good Characters","Male Characters","Living Characters",17,"1997, June","DC Comics","Blue Eyes , Blond Hair"
527397,"\/Abara_and_Cadabra_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",1,"Oct-47","marvl"," , Black Hair"
382725,"\/wiki\/Confessor_(New_Earth)","Secret Identity","Bad Characters","Male Characters","Living Characters",14,"1982, August","DC comics"," , "
301300,"\/wiki\/William_Kessler_(New_Earth)","","Bad Characters","Male Characters","Deceased Characters",1,"1981, October","DC"," , Blond Hair"
343934,"\/wiki\/Rovo_Quashi_(New_Earth)","Public Identity","Good Characters","Male Characters","Living Characters",10,"1989, December","dc comics","Brown Eyes , Black Hair"
81830,"\/wiki\/Mace_Gardner_(New_Earth)","Secret Identity","Bad Characters","Male Characters","Living Characters",17,"1993, September","DC Comics","Green Eyes , Red Hair"
64924,"\/wiki\/Jezebelle_of_New_Genesis_(New_Earth)","Secret Identity","Good Characters","Female Characters","Deceased Characters",8,"1977, July","DC Comics","Yellow Eyes , Red Hair"
685495,"\/John_Barnes_(Earth-616)","Public Identity","Good Characters","Male Characters","Deceased Characters",4,"Nov-09","Marvel","Brown Eyes , Brown Hair"
21491,"\/Sarah_Kinney_(Earth-616)","Secret Identity","Neutral Characters","Female Characters","Deceased Characters",10,"Mar-05","marvl","Green Eyes , Black Hair"
2148,"\/Myraddin_of_Ruta_(Earth-616)","Secret Identity","Good Characters","Male Characters","Living Characters",30,"Mar-44","marvelcomics","Hazel Eyes , White Hair"
440316,"\/Ilongo_Savage_(Earth-616)","Public Identity","Good Characters","Male Characters","Living Characters",21,"Feb-79","MV"," , Black Hair"
124388,"\/wiki\/Anthony_Gallo_(New_Earth)","","Bad Characters","Male Characters","Deceased Characters",6,"2007, January","DC comics"," , Black Hair"
352795,"\/Arkadine_Arcadius_(Earth-616)","No Dual Identity","Bad Characters","Male Characters","Living Characters",8,"Mar-95","marvel","Yellow Eyes , White Hair"
54212,"\/wiki\/Sylbert_Rundine_(New_Earth)","Secret Identity","Bad Characters","Male Characters","Living Characters",14,"2006, October","DC Comics","Green Eyes , Red Hair"
182474,"\/wiki\/Three_of_Spades_II_(New_Earth)","","Bad Characters","Male Characters","Living Characters",1,"1992, April","dc comics"," , "
187531,"\/wiki\/Jinx_II_(New_Earth)","","Bad Characters","Male Characters","Living Characters",1,"1981, December","dc comics"," , "
92829,"\/Ganymede_(Spinsterhood)_(Earth-616)","Secret Identity","Good Characters","Female Characters","Living Characters",12,"May-93","marvl","Yellow Eyes , Black Hair"
1958,"\/Samuel_Sterns_(Earth-616)","Public Identity","Bad Characters","Male Characters","Deceased Characters",152,"Dec-64","marvelcomics","Red Eyes , Black Hair"
37346,"\/Surgeon_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",1,"Sep-96","Marvel"," , Black Hair"
256921,"\/Conrad_O%27Shea_(Earth-616)","","Bad Characters","Male Characters","Living Characters",NA,"Jun-09","Marvel"," , "
232861,"\/wiki\/Orphan_(New_Earth)","Secret Identity","Bad Characters","Male Characters","Living Characters",1,"2011, August","DC Comics"," , Blond Hair"
301351,"\/Mark_Cephalos_(Earth-616)","Public Identity","Bad Characters","Male Characters","Deceased Characters",1,"Nov-72","marvel"," , Bald"
502928,"\/Targon_(Earth-616)","Public Identity","Bad Characters","Male Characters","Living Characters",6,"Jun-95","MV"," , Brown Hair"
689097,"\/Tom_Tojumi_(Earth-616)","Public Identity","","Male Characters","Living Characters",1,"Jan-95","marvelcomics"," , Black Hair"
65389,"\/Burt_Horowitz_(Earth-616)","Secret Identity","","Male Characters","Deceased Characters",12,"Jul-88","MV"," , Bald"
32710,"\/Janice_Hollenbeck_(Earth-616)","","Good Characters","Female Characters","Deceased Characters",8,"Feb-92","marvelcomics"," , "
321451,"\/Dirty_Wolff_(Earth-616)","","","Male Characters","Living Characters",2,"Jun-00","marvelcomics","Grey Eyes , Black Hair"
725174,"\/Fooferah_(Earth-616)","Public Identity","Bad Characters","Male Characters","Living Characters",1,"May-94","Marvel"," , Brown Hair"
20195,"\/Augustus_(Earth-616)","Secret Identity","Neutral Characters","Male Characters","Living Characters",10,"Sep-05","Marvel Comics"," , Blond Hair"
28324,"\/Shinar_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",3,"Sep-94","marvel","Green Eyes , No Hair"
110527,"\/wiki\/Umberto_Maroni_(New_Earth)","Public Identity","Bad Characters","Male Characters","Deceased Characters",5,"1999, December","dc comics"," , Brown Hair"
311948,"\/Jacob_Weiss_(Earth-616)","","Good Characters","Male Characters","Deceased Characters",1,"Dec-69","marvel"," , "
148422,"\/wiki\/Cinderblock_(New_Earth)","Secret Identity","Bad Characters","Male Characters","Living Characters",1,"2009, November","DC Comics","Yellow Eyes , "
611365,"\/D%27Ciggs_(Earth-616)","Public Identity","","Male Characters","Living Characters",NA,"","marvel","Brown Eyes , Black Hair"
222869,"\/wiki\/Andreas_Havoc_(New_Earth)","","Bad Characters","Male Characters","Living Characters",11,"1992, September","DC comics"," , "
677170,"\/Mboye_(Earth-616)","Public Identity","Good Characters","Female Characters","Living Characters",1,"Jul-05","Marvel Comics"," , Black Hair"
209861,"\/wiki\/Birthday_Girl_(New_Earth)","","Good Characters","Female Characters","Living Characters",2,"2010, December","DC comics"," , Black Hair"
1905,"\/wiki\/Barbara_Gordon_(New_Earth)","Secret Identity","Good Characters","Female Characters","Living Characters",951,"1967, January","DC","Blue Eyes , Red Hair"
11949,"\/wiki\/Flora_Black_(New_Earth)","Secret Identity","Neutral Characters","Female Characters","Deceased Characters",27,"1988, December","DC Comics","Violet Eyes , Violet Hair"
121551,"\/Ulluxy%27l_Kwan_Tae_Syn_(Earth-616)","","Bad Characters","Male Characters","Living Characters",NA,"Oct-75","marvelcomics"," , "
557924,"\/Nina_McCabe_(Earth-616)","Secret Identity","Bad Characters","Female Characters","Living Characters",1,"Nov-96","MV"," , Blond Hair"
285432,"\/wiki\/Jennifer_Jurden_(New_Earth)","Public Identity","Good Characters","Female Characters","Living Characters",12,"1992, February","DC","Blue Eyes , Brown Hair"
40929,"\/wiki\/Bonnie_Baxter_(New_Earth)","Public Identity","Good Characters","Female Characters","Living Characters",34,"1990, February","DC comics","Blue Eyes , Brown Hair"
287113,"\/wiki\/Marj_(New_Earth)","Public Identity","Good Characters","Female Characters","Living Characters",15,"1988, December","DC comics","Blue Eyes , Red Hair"
476433,"\/Peter_Parker_(Jack)_(Earth-616)","Secret Identity","Neutral Characters","Male Characters","Deceased Characters",8,"Mar-95","Marvel Comics","Hazel Eyes , Bald"
484433,"\/Cappy_(Marla_Drake%27s_Doorman)_(Earth-616)","Public Identity","Good Characters","Male Characters","Living Characters",NA,"Dec-42","marvl"," , White Hair"
288355,"\/Linda_Wei_(Earth-616)","Public Identity","Bad Characters","Female Characters","Deceased Characters",13,"Sep-90","marvl","Brown Eyes , Black Hair"
12795,"\/wiki\/Gladiator_Giant_(New_Earth)","Secret Identity","Good Characters","Male Characters","Living Characters",1,"2006, October","dc comics"," , "
731335,"\/Anabolicus_(Earth-616)","Secret Identity","Neutral Characters","Male Characters","Living Characters",1,"Jan-94","MV"," , Black Hair"
516619,"\/Mirmir_(Earth-616)","","Good Characters","Male Characters","Living Characters",1,"Apr-64","MV"," , "
138556,"\/wiki\/Asha_Del-Nar_(New_Earth)","","Neutral Characters","Female Characters","Living Characters",7,"2009, May","dc comics"," , Blond Hair"
350110,"\/Ternak_(Earth-616)","Public Identity","Bad Characters","Male Characters","Living Characters",2,"Apr-74","Marvel Comics"," , "
689295,"\/Groza_(Earth-616)","Secret Identity","Good Characters","Male Characters","Deceased Characters",1,"Mar-05","Marvel"," , Bald"
1526,"\/Eternity_(Earth-616)","Secret Identity","Neutral Characters","","Living Characters",100,"Nov-65","Marvel Comics","Black Eyes , No Hair"
397433,"\/Selach_(Earth-616)","Public Identity","Neutral Characters","Male Characters","Living Characters",7,"Nov-10","marvelcomics"," , Black Hair"
262956,"\/wiki\/Angry_Charlie_(New_Earth)","","Good Characters","Male Characters","Living Characters",12,"1972, January","DC comics","Yellow Eyes , "
283075,"\/wiki\/James_Madison_(New_Earth)","","Good Characters","Male Characters","Living Characters",1,"1975, June","DC Comics"," , "
11439,"\/wiki\/Doctor_Impossible_(New_Earth)","Secret Identity","Bad Characters","Male Characters","Living Characters",11,"2006, October","dc comics","Blue Eyes , Black Hair"
175464,"\/Jonas_Hale_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",16,"Mar-79","marvel"," , Brown Hair"
213765,"\/Max_Eisenhardt_(Machinesmith_Robot)_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Deceased Characters",7,"Nov-68","marvelcomics"," , "
505517,"\/Michael_Shauneghann_(Earth-616)","Public Identity","Good Characters","Male Characters","Living Characters",4,"Aug-91","marvl","Brown Eyes , Black Hair"
2771,"\/wiki\/Natalia_Knight_(New_Earth)","Secret Identity","","Female Characters","Living Characters",29,"1983, August","DC Comics","Blue Eyes , Black Hair"
160948,"\/wiki\/D%27Tilluh_(New_Earth)","Public Identity","Good Characters","Male Characters","Living Characters",NA,"1982, March","dc comics"," , "
295594,"\/Amora_(Heroes_Reborn)_(Earth-616)","Public Identity","Bad Characters","Female Characters","Living Characters",9,"Nov-96","marvelcomics","Green Eyes , Yellow Hair"
303022,"\/Crone_(Earth-616)","Secret Identity","Neutral Characters","Female Characters","Living Characters",1,"Mar-10","Marvel","Brown Eyes , White Hair"
311244,"\/Sardanus_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Deceased Characters",1,"Jul-75","marvel"," , "
1697,"\/Delilah_Dearborn_(Earth-616)","Public Identity","","Female Characters","Living Characters",16,"Jan-96","Marvel Comics","Blue Eyes , Brown Hair"
714378,"\/Balaban_(Earth-616)","No Dual Identity","","Male Characters","Living Characters",1,"Nov-91","Marvel Comics"," , Red Hair"
28302,"\/Damian_Tryp_Jr._(Earth-616)","Secret Identity","Neutral Characters","Male Characters","Deceased Characters",3,"Feb-06","marvel","Brown Eyes , Brown Hair"
19684,"\/Mantor_(Earth-616)","Secret Identity","Good Characters","Male Characters","Living Characters",2,"Sep-40","MV","Grey Eyes , Brown Hair"
510107,"\/Doctor_Nitro_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",1,"Jun-45","Marvel"," , Bald"
514532,"\/Aquarius_(Thanos%27_Zodiac)_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Deceased Characters",NA,"May-12","marvel","Brown Eyes , Brown Hair"
5461,"\/T-Ray_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Deceased Characters",22,"Jan-97","MV","Green Eyes , Red Hair"
240112,"\/wiki\/Ferenc_Aldebaran_(New_Earth)","Public Identity","Bad Characters","Male Characters","Living Characters",1,"1962, April","DC Comics"," , Black Hair"
67293,"\/Cassie_St._Commons_(Earth-616)","Secret Identity","Good Characters","Female Characters","Living Characters",20,"Sep-98","Marvel Comics"," , Black Hair"
507270,"\/K%27rin_(Earth-616)","Public Identity","Good Characters","Female Characters","Living Characters",NA,"Aug-95","Marvel Comics"," , "
196059,"\/Leaper_Logan_(Earth-616)","","Bad Characters","Male Characters","Living Characters",2,"Nov-88","marvel"," , "
167871,"\/wiki\/Carla_Moretti_(New_Earth)","Secret Identity","Bad Characters","Female Characters","Deceased Characters",17,"2010, July","DC"," , Brown Hair"
127372,"\/wiki\/Derek_Bradbourne_(New_Earth)","Secret Identity","Good Characters","Male Characters","Living Characters",8,"1992, December","DC Comics"," , Brown Hair"
505978,"\/Jennifer_Burke_(Earth-616)","","","Female Characters","Living Characters",2,"Aug-94","Marvel Comics"," , "
127267,"\/Harold_Marks_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",1,"Jul-93","marvel"," , "
505922,"\/Sajani_Jaffrey_(Earth-616)","No Dual Identity","Neutral Characters","Female Characters","Living Characters",40,"Jan-11","MV","Brown Eyes , Black Hair"
1850,"\/wiki\/Henry_Henshaw_(New_Earth)","Secret Identity","Bad Characters","Male Characters","Living Characters",96,"1990, May","DC Comics","Blue Eyes , Black Hair"
100716,"\/Chili_Storm_(Earth-616)","Public Identity","","Female Characters","Living Characters",284,"Oct-48","marvelcomics","Green Eyes , Red Hair"
115175,"\/wiki\/Djo_Zha_(New_Earth)","","","Male Characters","Living Characters",8,"2009, March","DC"," , "
15906,"\/Maxwell_Jordan_(Earth-616)","Secret Identity","Good Characters","Male Characters","Deceased Characters",16,"Jul-04","Marvel","Brown Eyes , Brown Hair"
664113,"\/Fred_Hopkins_(Earth-616)","Secret Identity","Good Characters","Male Characters","Deceased Characters",2,"Nov-85","marvl","Brown Eyes , Brown Hair"
692912,"\/Ziro_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",3,"","marvel"," , "
118298,"\/wiki\/Lonocelu_Ospho_(New_Earth)","Public Identity","Good Characters","Male Characters","Living Characters",37,"1985, May","DC comics"," , "
4015,"\/Wladyslav_Shinski_(Earth-616)","Public Identity","Bad Characters","Male Characters","Living Characters",28,"Sep-67","marvel"," , Grey Hair"
154770,"\/wiki\/David_Palmer_(New_Earth)","","Good Characters","Male Characters","Deceased Characters",5,"1988, December","DC Comics"," , Brown Hair"
44540,"\/Kevin_Marlow_(Earth-616)","Secret Identity","","Male Characters","Living Characters",52,"Oct-41","Marvel","Blue Eyes , Blond Hair"
87162,"\/Nicholas_Damiano_(Earth-616)","Public Identity","Good Characters","Male Characters","Deceased Characters",3,"Aug-84","marvl"," , Black Hair"
17151,"\/Rabbit_(Earth-616)","Secret Identity","","Female Characters","Deceased Characters",5,"Nov-88","Marvel Comics"," , "
